benchmark,alg,best_total_cost,avg_time_sec,solution,optimal_value,diff,percent_diff
A-n32-k5.vrp,AntColonyAlgorithm,825.1639924,1.7295179,"[1, 28, 25, 15, 27, 17, 2, 31, 1] [1, 21, 6, 26, 11, 16, 23, 10, 9, 19, 30, 1] [1, 7, 3, 4, 24, 29, 5, 12, 1] [1, 22, 32, 20, 18, 14, 8, 1] [1, 13, 1]",784,41.16399244666559,5.2505092
A-n33-k5.vrp,AntColonyAlgorithm,762.1062565,1.6503025,"[1, 23, 24, 29, 19, 12, 32, 22, 1] [1, 3, 21, 33, 14, 9, 8, 27, 6, 1] [1, 11, 18, 10, 4, 17, 30, 2, 1] [1, 16, 5, 13, 28, 26, 31, 1] [1, 25, 7, 20, 15, 1]",661,101.106256512718,15.2959541
A-n33-k6.vrp,AntColonyAlgorithm,880.8673664,1.6602218,"[1, 29, 33, 11, 22, 26, 17, 28, 32, 1] [1, 15, 18, 19, 7, 2, 8, 1] [1, 25, 24, 27, 23, 5, 9, 1] [1, 14, 6, 3, 16, 21, 10, 4, 1] [1, 20, 30, 12, 31, 1] [1, 13, 1]",742,138.86736638268076,18.7152785
A-n34-k5.vrp,AntColonyAlgorithm,884.2463666,1.6718266,"[1, 27, 5, 21, 19, 3, 17, 23, 34, 1] [1, 15, 8, 7, 16, 9, 2, 28, 1] [1, 11, 14, 22, 13, 4, 10, 33, 32, 1] [1, 29, 26, 20, 18, 12, 30, 1] [1, 6, 31, 25, 24, 1]",778,106.2463665913175,13.6563453
A-n36-k5.vrp,AntColonyAlgorithm,955.9374472,1.772684,"[1, 17, 2, 14, 31, 18, 30, 32, 20, 5, 7, 4, 34, 1] [1, 11, 8, 27, 6, 21, 1] [1, 16, 9, 36, 3, 35, 24, 29, 15, 1] [1, 12, 26, 25, 23, 22, 19, 28, 1] [1, 10, 13, 33, 1]",799,156.93744720257632,19.6417331
A-n37-k5.vrp,AntColonyAlgorithm,828.9338794,1.8227021,"[1, 16, 22, 17, 8, 5, 30, 37, 35, 1] [1, 2, 13, 15, 18, 24, 10, 25, 9, 28, 12, 4, 1] [1, 23, 14, 6, 34, 11, 3, 20, 21, 1] [1, 33, 29, 32, 27, 31, 26, 19, 36, 1] [1, 7, 1]",669,159.9338793588861,23.9064095
A-n37-k6.vrp,AntColonyAlgorithm,1053.7234574,1.7983942,"[1, 25, 17, 8, 5, 19, 35, 32, 1] [1, 30, 37, 7, 21, 4, 2, 15, 1] [1, 14, 31, 16, 33, 28, 1] [1, 27, 11, 12, 13, 23, 24, 29, 22, 1] [1, 36, 26, 18, 20, 1] [1, 9, 6, 34, 10, 3, 1]",949,104.72345742001698,11.0351378
A-n38-k5.vrp,AntColonyAlgorithm,857.421796,1.8462279,"[1, 25, 15, 3, 14, 37, 18, 16, 33, 8, 32, 29, 1] [1, 10, 9, 34, 36, 24, 27, 13, 4, 1] [1, 21, 23, 28, 12, 38, 1] [1, 19, 20, 35, 7, 30, 11, 22, 1] [1, 31, 2, 5, 17, 26, 6, 1]",730,127.4217960312942,17.4550406
A-n39-k5.vrp,AntColonyAlgorithm,937.7954282,1.9071559,"[1, 15, 5, 19, 10, 13, 32, 1] [1, 20, 26, 34, 24, 21, 30, 6, 17, 8, 4, 9, 1] [1, 22, 31, 14, 29, 37, 7, 27, 18, 12, 1] [1, 2, 16, 11, 33, 3, 23, 39, 1] [1, 28, 35, 38, 36, 25, 1]",822,115.79542822118333,14.0870351
A-n39-k6.vrp,AntColonyAlgorithm,1010.163622,1.8829906,"[1, 25, 16, 31, 21, 33, 19, 23, 24, 1] [1, 27, 12, 7, 37, 2, 22, 18, 1] [1, 14, 4, 39, 6, 1] [1, 3, 34, 20, 5, 17, 35, 1] [1, 11, 28, 8, 9, 36, 26, 15, 32, 38, 13, 1] [1, 30, 29, 10, 1]",831,179.1636219941737,21.5600026
